,Hotel Name,Hotel URL
0,      The Upper House,/Hotel_Review-g294217-d1513860-Reviews-The_Upper_House-Hong_Kong.html
1,      W Hong Kong,/Hotel_Review-g294217-d1068719-Reviews-W_Hong_Kong-Hong_Kong.html
2,      Hotel ICON,/Hotel_Review-g294217-d2031570-Reviews-Hotel_ICON-Hong_Kong.html
3,      The St. Regis Hong Kong,/Hotel_Review-g294217-d16913872-Reviews-The_St_Regis_Hong_Kong-Hong_Kong.html
4,"      The Ritz-Carlton, Hong Kong",/Hotel_Review-g294217-d2016610-Reviews-The_Ritz_Carlton_Hong_Kong-Hong_Kong.html
5,"      The Murray, Hong Kong, a Niccolo Hotel",/Hotel_Review-g294217-d13009537-Reviews-The_Murray_Hong_Kong_a_Niccolo_Hotel-Hong_Kong.html
6,"      Mandarin Oriental, Hong Kong",/Hotel_Review-g294217-d301413-Reviews-Mandarin_Oriental_Hong_Kong-Hong_Kong.html
7,      Nina Hotel Causeway Bay,/Hotel_Review-g294217-d596991-Reviews-Nina_Hotel_Causeway_Bay-Hong_Kong.html
8,"      Island Shangri-La, Hong Kong",/Hotel_Review-g294217-d302130-Reviews-Island_Shangri_La_Hong_Kong-Hong_Kong.html
9,      Nina Hotel Kowloon East,/Hotel_Review-g294217-d3205411-Reviews-Nina_Hotel_Kowloon_East-Hong_Kong.html
